n,url,label,description
57892,57892,"( Il faut rejeter les valeurs et le monde incarnés par la privatisation d'ADP) -> ¬ ( Faut-il privatiser ADP ?)",""
39414,39414,"( Il n'y a pas d'alternative au capitalisme) -> ( Pour ou contre le capitalisme ?)",""
57893,57893,"( Il n'y a pas plus de raison de boycotter Facebook que les autres géants du web) -> ¬ ( Faut-il boycotter Facebook ?)",""
39415,39415,"( Il ne faut pas manger les animaux considérés sacrés) -> ( Faut-il arrêter de manger des animaux ?)",""
57894,57894,"( Il y a une diversité irréductible de l'Ultime) -> ¬ ( Les religions se rejoignent-elles ?)",""
39416,39416,"( Il y a un potentiel révolutionnaire dans la jeunesse et les travailleurs des banlieues) -> ( L'extrême-gauche doit-elle lutter contre l'islamophobie ?)",""
57895,57895,"( Instaurer un revenu de base risque de provoquer une immigration massive) -> ¬ ( Faut-il instaurer un revenu de base ?)",""
39417,39417,"( J'ai le sentiment d'être libre) -> ( Sommes-nous libres de nos décisions ?)",""
57896,57896,"( L'afflux de migrants fait baisser la qualité de vie et monter les violences) -> ¬ ( Faut-il accueillir davantage de migrants ?)",""
39418,39418,"( L'anonymat déresponsabilise) -> ( Faut-il réguler l'anonymat sur Internet ?)",""
57897,57897,"( L'anonymat favorise la liberté d'expression.) -> ¬ ( Faut-il réguler l'anonymat sur Internet ?)",""
39419,39419,"( L'argent des salaires des footballeurs professionnels pourrait être investi dans des choses plus importantes) -> ( Les footballeurs professionnels sont-ils trop payés ?)",""
39420,39420,"( L'étude du fascisme fait partie de la formation des militants du Front national) -> ( Le Front national est-il un parti fasciste ?)",""
57898,57898,"( L'extension de la réunification familiale implique de faire venir un nombre dispoportionné de migrants pour une famille) -> ¬ ( Pour ou contre le projet de loi Collomb Asile et immigration ?)",""
57899,57899,"( L'extension de la réunification familiale implique de faire venir un nombre dispoportionné de migrants pour une famille) -> ¬ ( La loi Collomb Asile et immigration étend la réunification familiale aux ascendants directs au premier degré et aux frères et soeurs du réfugié mineur)",""
39421,39421,"( L'islam est la religion des opprimés) -> ( L'extrême-gauche doit-elle lutter contre l'islamophobie ?)",""
39422,39422,"( L'ordre et la complexité du monde supposent un Dieu créateur) -> ( Dieu existe-t-il ? (nouvelle version))",""
39423,39423,"( La classe ouvrière a fait la preuve de sa capacité à faire la révolution) -> ( La classe ouvrière est-elle la seule classe révolutionnaire ?)",""
39424,39424,"( La classe ouvrière a la force et le savoir-faire économiques) -> ( La classe ouvrière est-elle la seule classe révolutionnaire ?)",""
57900,57900,"( La classe ouvrière a perdu sa combativité) -> ¬ ( La classe ouvrière est-elle la seule classe révolutionnaire ?)",""
57901,57901,"( La classe ouvrière a perdu son pouvoir économique) -> ¬ ( La classe ouvrière est-elle la seule classe révolutionnaire ?)",""
39425,39425,"( La classe ouvrière est la classe la plus à même de devenir révolutionnaire) -> ( La classe ouvrière est-elle la seule classe révolutionnaire ?)",""
39426,39426,"( La classe ouvrière est la principale force sociale) -> ( La classe ouvrière est-elle la seule classe révolutionnaire ?)",""
57902,57902,"( La classe ouvrière est trop divisée pour avoir conscience d'elle-même) -> ¬ ( La classe ouvrière est-elle la seule classe révolutionnaire ?)",""
57903,57903,"( La classe ouvrière a perdu confiance en ses forces) -> ¬ ( La classe ouvrière est-elle la seule classe révolutionnaire ?)",""
39427,39427,"( La classe ouvrière possède des qualités que ne possèdent pas les autres classes) -> ( La classe ouvrière est-elle la seule classe révolutionnaire ?)",""
57904,57904,"( La consommation d'espèces animales invasives peut être bénéfique) -> ¬ ( Faut-il arrêter de manger des animaux ?)",""
57905,57905,"( La démocratie véritable est la démocratie directe) -> ¬ ( Sommes-nous en démocratie ?)",""
39428,39428,"( La dépénalisation du cannabis serait bénéfique) -> ( Faut-il légaliser le cannabis ?)",""
39429,39429,"( La filière électronucleaire n'émet que très peu de gaz à effet de serre.) -> ( Le nucléaire est-il une énergie d'avenir ?)",""
39430,39430,"( La France n'est pas une dictature) -> ( Sommes-nous en démocratie ?)",""
39431,39431,"( La guerre était au coeur du projet de Lénine) -> ( Lénine est-il le précurseur de Staline ?)",""
57906,57906,"( La hiérarchie des salaires à vie est source de grands conflits) -> ¬ ( Faut-il instaurer un salaire à vie ?)",""
57907,57907,"( La liberté d'expression doit être maximale) -> ¬ ( La liberté d'expression doit-elle être limitée ?)",""
39432,39432,"( La liberté d'expression doit être maximale) -> ( La liberté d'expression doit-elle être totale ?)",""
39433,39433,"( La loi Collomb Asile et immigration améliore l'accueil des bénéficiaires d'une protection internationale) -> ( Pour ou contre le projet de loi Collomb Asile et immigration ?)",""
57908,57908,"( La loi Collomb Asile et immigration augmente la durée maximale de la retenue administrative) -> ¬ ( Pour ou contre le projet de loi Collomb Asile et immigration ?)",""
39434,39434,"( La loi Collomb Asile et immigration étend la réunification familiale aux ascendants directs au premier degré et aux frères et soeurs du réfugié mineur) -> ( Pour ou contre le projet de loi Collomb Asile et immigration ?)",""
57909,57909,"( La loi Collomb Asile et immigration étend les motifs de refus de délai de départ volontaire) -> ¬ ( Pour ou contre le projet de loi Collomb Asile et immigration ?)",""
39435,39435,"( La loi Collomb Asile et immigration favorise l'attractivité et l'accueil des talents et compétences) -> ( Pour ou contre le projet de loi Collomb Asile et immigration ?)",""
57910,57910,"( La loi Collomb Asile et immigration généralise la visioconférence pour les audiences sans le consentement de l'intéressé) -> ¬ ( Pour ou contre le projet de loi Collomb Asile et immigration ?)",""
57911,57911,"( La loi Collomb Asile et immigration maintient la rétention administrative pour les mineurs) -> ¬ ( Pour ou contre le projet de loi Collomb Asile et immigration ?)",""
39436,39436,"( La loi Collomb Asile et immigration permet des demandes d'asile groupées pour un parent et ses enfants mineurs) -> ( Pour ou contre le projet de loi Collomb Asile et immigration ?)",""
39437,39437,"( La loi Collomb Asile et immigration permet la délivrance d'une carte de résidence à une personne ayant porté plainte pour une infraction commise par son conjoint) -> ( Pour ou contre le projet de loi Collomb Asile et immigration ?)",""
57912,57912,"( La loi Collomb Asile et immigration réduit la durée du droit au séjour sur le territoire français) -> ¬ ( Pour ou contre le projet de loi Collomb Asile et immigration ?)",""
57913,57913,"( La loi Collomb Asile et immigration réduit le délai de recours devant la Cour nationale du droit d'asile) -> ¬ ( Pour ou contre le projet de loi Collomb Asile et immigration ?)",""
57914,57914,"( La loi Collomb Asile et immigration réduit le délai initial du dépôt de la demande d'asile) -> ¬ ( Pour ou contre le projet de loi Collomb Asile et immigration ?)",""
57915,57915,"( La loi Collomb Asile et immigration rend encore plus rigide le régime linguistique pendant l'instruction de la demande d'asile) -> ¬ ( Pour ou contre le projet de loi Collomb Asile et immigration ?)",""
39438,39438,"( La loi Collomb Asile et immigration rend possible pour la CNDA d'annuler une décision de l'OFPRA et de lui renvoyer l'examen de la demande dans le cas d'une erreur d'interprète imputable à l'Office) -> ( Pour ou contre le projet de loi Collomb Asile et immigration ?)",""
57916,57916,"( La loi Collomb Asile et immigration supprime le droit de séjour et le caractère suspensif des recours devant la CNDA pour les cas de rejet de l'OFPRA pris en procédure accélérée pour certains motifs) -> ¬ ( Pour ou contre le projet de loi Collomb Asile et immigration ?)",""
39439,39439,"( La loi de 1970 sur les drogues est inadaptée) -> ( Faut-il légaliser le cannabis ?)",""
57917,57917,"( Il faut préférer la lutte antiraciste à la lutte contre l'islamophobie) -> ¬ ( L'extrême-gauche doit-elle lutter contre l'islamophobie ?)",""
57918,57918,"( La méthode Céline Alvarez apporte peu d’arguments pédagogiques en dehors de la pédagogie de Montessori) -> ¬ ( La méthode Céline Alvarez révolutionne-t-elle l'école maternelle ?)",""
57919,57919,"( La méthode Céline Alvarez est basée sur une expérience peu représentative) -> ¬ ( La méthode Céline Alvarez révolutionne-t-elle l'école maternelle ?)",""
57920,57920,"( La méthode Céline Alvarez est gourmande en matériel et encadrement) -> ¬ ( La méthode Céline Alvarez révolutionne-t-elle l'école maternelle ?)",""
39440,39440,"( La méthode Céline Alvarez est très efficace) -> ( La méthode Céline Alvarez révolutionne-t-elle l'école maternelle ?)",""
39441,39441,"( La méthode Céline Alvarez est universelle) -> ( La méthode Céline Alvarez révolutionne-t-elle l'école maternelle ?)",""
39442,39442,"( La méthode Céline Alvarez favorise l’entraide et l’empathie) -> ( La méthode Céline Alvarez révolutionne-t-elle l'école maternelle ?)",""
57921,57921,"( La méthode Céline Alvarez manque d'évaluation) -> ¬ ( La méthode Céline Alvarez révolutionne-t-elle l'école maternelle ?)",""
57922,57922,"( La méthode Céline Alvarez renferme la classe sur elle-même) -> ¬ ( La méthode Céline Alvarez révolutionne-t-elle l'école maternelle ?)",""
39443,39443,"( La méthode Céline Alvarez s'adapte au fonctionnement naturel de l’enfant) -> ( La méthode Céline Alvarez révolutionne-t-elle l'école maternelle ?)",""
39444,39444,"( La méthode Céline Alvarez se base sur les résultats des neurosciences) -> ( La méthode Céline Alvarez révolutionne-t-elle l'école maternelle ?)",""
57923,57923,"( La méthode Céline Alvarez signifie l'entrée du monde du business dans l’éducation) -> ¬ ( La méthode Céline Alvarez révolutionne-t-elle l'école maternelle ?)",""
57924,57924,"( La migration est un problème pour les pays dont les migrants proviennent) -> ¬ ( Faut-il accueillir davantage de migrants ?)",""
57925,57925,"( La notation est un système juste et précis) -> ¬ ( Faut-il supprimer les notes à l'école ?)",""
57926,57926,"( La privatisation d'ADP serait une mauvaise affaire pour l'Etat) -> ¬ ( Faut-il privatiser ADP ?)",""
57927,57927,"( La privatisation d'ADP serait une mauvaise affaire pour les compagnies aériennes et les voyageurs) -> ¬ ( Faut-il privatiser ADP ?)",""
39445,39445,"( La privatisation d'ADP va créer de l'emploi) -> ( Faut-il privatiser ADP ?)",""
57928,57928,"( La prohibition du cannabis est efficace) -> ¬ ( Faut-il légaliser le cannabis ?)",""
39446,39446,"( La prohibition du cannabis est inefficace) -> ( Faut-il légaliser le cannabis ?)",""
39447,39447,"( La prohibition du cannabis est préjudiciable aux usagers) -> ( Faut-il légaliser le cannabis ?)",""
39448,39448,"( La prohibition du cannabis est préjudiciable à la société) -> ( Faut-il légaliser le cannabis ?)",""
39449,39449,"( La prohibition du cannabis manque de légitimité) -> ( Faut-il légaliser le cannabis ?)",""
39450,39450,"( La question du voile est utilisée à des fins de division et de diversion) -> ( La gauche doit-elle défendre le port du voile islamique ?)",""
57929,57929,"( La révolution peut et doit se faire sans la classe ouvrière) -> ¬ ( La classe ouvrière est-elle la seule classe révolutionnaire ?)",""
57930,57930,"( La religion corrompt) -> ¬ ( La croyance en Dieu est-elle bénéfique ?)",""
57931,57931,"( La religion est fondée sur le sang) -> ¬ ( La croyance en Dieu est-elle bénéfique ?)",""
57932,57932,"( La religion va à l'encontre de l'esprit scientifique) -> ¬ ( La croyance en Dieu est-elle bénéfique ?)",""
57933,57933,"( La souffrance et le mal contredisent l'existence d'un dieu) -> ¬ ( Dieu existe-t-il ? (nouvelle version))",""
57934,57934,"( La tendance fasciste du Front national est en voie de marginalisation) -> ¬ ( Le Front national est-il un parti fasciste ?)",""
57936,57936,"( La tendance fasciste du Front national est en voie de marginalisation) -> ¬ ( Le Front national tire son origine d'individus et groupes fascistes)",""
57935,57935,"( La tendance fasciste du Front national est en voie de marginalisation) -> ¬ ( Les Le Pen entretiennent des liens avec des personnes considérées fascistes)",""
57937,57937,"( La terreur bolchévik a été dictée par les circonstances) -> ¬ ( Lénine est-il le précurseur de Staline ?)",""
57938,57938,"( La volonté est toujours déterminée par le motif de poursuivre son bien ou son avantage) -> ¬ ( Sommes-nous libres de nos décisions ?)",""
39451,39451,"( Lénine a créé les instruments de la terreur stalinienne) -> ( Lénine est-il le précurseur de Staline ?)",""
39452,39452,"( Lénine a mené la terreur contre ses opposants) -> ( Lénine est-il le précurseur de Staline ?)",""
39453,39453,"( Lénine a théorisé et revendiqué la terreur de masse) -> ( Lénine est-il le précurseur de Staline ?)",""
39454,39454,"( Lénine était un être cynique,paranoïaque et avide de pouvoir) -> ( Lénine est-il le précurseur de Staline ?)",""
39455,39455,"( Lénine était un ennemi de la démocratie) -> ( Lénine est-il le précurseur de Staline ?)",""
39456,39456,"( Lénine est le concepteur d'un parti totalitaire) -> ( Lénine est-il le précurseur de Staline ?)",""
57939,57939,"( L’accueil de migrants va contre la volonté populaire) -> ¬ ( Faut-il accueillir davantage de migrants ?)",""
39457,39457,"( L’Etat n’est pas le plus qualifié pour gérer des aéroports) -> ( Faut-il privatiser ADP ?)",""
57940,57940,"( Le capitalisme accentue les inégalités) -> ¬ ( Pour ou contre le capitalisme ?)",""
57941,57941,"( Le capitalisme appauvrit l'imaginaire et la spiritualité des individus) -> ¬ ( Pour ou contre le capitalisme ?)",""
57942,57942,"( Le capitalisme appauvrit les différentes formes de culture) -> ¬ ( Pour ou contre le capitalisme ?)",""
39458,39458,"( Le capitalisme a un fondement naturel) -> ( Pour ou contre le capitalisme ?)",""
57943,57943,"( Le capitalisme détériore les relations humaines) -> ¬ ( Pour ou contre le capitalisme ?)",""
57944,57944,"( Le capitalisme est amené à s'effondrer) -> ¬ ( Pour ou contre le capitalisme ?)",""
39459,39459,"( Le capitalisme est condamné) -> ( Pour ou contre le communisme ?)",""
57945,57945,"( Le capitalisme est immoral) -> ¬ ( Pour ou contre le capitalisme ?)",""
57946,57946,"( Le capitalisme est incapable de satisfaire les besoins fondamentaux de l'humanité) -> ¬ ( Pour ou contre le capitalisme ?)",""
57947,57947,"( Le capitalisme est la cause de guerres incessantes) -> ¬ ( Pour ou contre le capitalisme ?)",""
39460,39460,"( Le capitalisme est le garant des libertés individuelles) -> ( Pour ou contre le capitalisme ?)",""
39461,39461,"( Le capitalisme est un système économique efficace) -> ( Pour ou contre le capitalisme ?)",""
39462,39462,"( Le capitalisme est un système économique stable) -> ( Pour ou contre le capitalisme ?)",""
57948,57948,"( Le capitalisme exploite et opprime les travailleurs) -> ¬ ( Pour ou contre le capitalisme ?)",""
57949,57949,"( Le capitalisme nuit gravement à la santé de la population) -> ¬ ( Pour ou contre le capitalisme ?)",""
57950,57950,"( Le capitalisme perturbe et détruit les écosystèmes) -> ¬ ( Pour ou contre le capitalisme ?)",""
39463,39463,"( Le cerveau repose sur des particules indéterminées) -> ( Sommes-nous libres de nos décisions ?)",""
57951,57951,"( Le communisme est dangereux) -> ¬ ( Pour ou contre le communisme ?)",""
57952,57952,"( Le communisme est impossible) -> ¬ ( Pour ou contre le communisme ?)",""
57953,57953,"( Le communisme est une catastrophe économique) -> ¬ ( Pour ou contre le communisme ?)",""
39464,39464,"( Le communisme est une société sans exploitation) -> ( Pour ou contre le communisme ?)",""
57954,57954,"( Le communisme n'est pas nécessaire) -> ¬ ( Pour ou contre le communisme ?)",""
39465,39465,"( Le communisme répond aux besoins de la population) -> ( Pour ou contre le communisme ?)",""
57955,57955,"( Le fait que j'aurais pu faire un autre choix que celui que j'ai fait par le passé est invérifiable) -> ¬ ( Sommes-nous libres de nos décisions ?)",""
39466,39466,"( Le Front national a la base sociale traditionnelle du fascisme) -> ( Le Front national est-il un parti fasciste ?)",""
57956,57956,"( Le Front national est un parti intégré dans le jeu électoral) -> ¬ ( Le Front national est-il un parti fasciste ?)",""
39467,39467,"( Le Front national est un parti nationaliste) -> ( Le Front national est-il un parti fasciste ?)",""
57962,57962,"( Le Front national est un parti national-populiste) -> ¬ ( Le Front national tire son origine d'individus et groupes fascistes)",""
57957,57957,"( Le Front national est un parti national-populiste) -> ¬ ( Le Front national est un parti raciste,xénophobe,antisémite et homophobe)",""
57961,57961,"( Le Front national est un parti national-populiste) -> ¬ ( Le Front national est un parti nationaliste)",""
57959,57959,"( Le Front national est un parti national-populiste) -> ¬ ( Le slogan 'Ni gauche,ni droite' est typiquement fasciste)",""
57958,57958,"( Le Front national est un parti national-populiste) -> ¬ ( Les Le Pen entretiennent des liens avec des personnes considérées fascistes)",""
57960,57960,"( Le Front national est un parti national-populiste) -> ¬ ( Le Front national est-il un parti fasciste ?)",""
39468,39468,"( Le Front national est un parti raciste,xénophobe,antisémite et homophobe) -> ( Le Front national est-il un parti fasciste ?)",""
57963,57963,"( Le Front national n'a pas de milices armées) -> ¬ ( Le Front national est-il un parti fasciste ?)",""
57964,57964,"( Le Front national n'a pas pour objectif de façonner un ordre nouveau) -> ¬ ( Le Front national est-il un parti fasciste ?)",""
57967,57967,"( Le Front national s'est dédiabolisé avec Marine Le Pen) -> ¬ ( Le Front national est-il un parti fasciste ?)",""
57966,57966,"( Le Front national s'est dédiabolisé avec Marine Le Pen) -> ¬ ( Les Le Pen entretiennent des liens avec des personnes considérées fascistes)",""
57965,57965,"( Le Front national s'est dédiabolisé avec Marine Le Pen) -> ¬ ( Le Front national est un parti raciste,xénophobe,antisémite et homophobe)",""
57968,57968,"( Le Front national se réclame de la démocratie) -> ¬ ( Le Front national est-il un parti fasciste ?)",""
39469,39469,"( Le Front national tire son origine d'individus et groupes fascistes) -> ( Le Front national est-il un parti fasciste ?)",""
39470,39470,"( Le logiciel libre a des problèmes de gouvernance) -> ( Le logiciel libre est-il en déclin ?)",""
39471,39471,"( Le logiciel libre n'a pas vraiment de modèle économique) -> ( Le logiciel libre est-il en déclin ?)",""
39472,39472,"( Le nucléaire français (hors nucléaire militaire) est une industrie transparente) -> ( Le nucléaire est-il une énergie d'avenir ?)",""
57969,57969,"( Le pouvoir politique français est entre les mains d'une minorité) -> ¬ ( Sommes-nous en démocratie ?)",""
57970,57970,"( Le pouvoir politique français manque de contrôle) -> ¬ ( Sommes-nous en démocratie ?)",""
57971,57971,"( Le pouvoir politique français manque de participation) -> ¬ ( Sommes-nous en démocratie ?)",""
57972,57972,"( Le pouvoir politique français manque de représentativité) -> ¬ ( Sommes-nous en démocratie ?)",""
57973,57973,"( Le réchauffement climatique a des causes naturelles) -> ¬ ( Le réchauffement climatique est-il dû à l'activité humaine ?)",""
57974,57974,"( Le réchauffement climatique est un mythe) -> ¬ ( Le réchauffement climatique est-il dû à l'activité humaine ?)",""
39473,39473,"( Le réchauffement climatique ne peut être expliqué à partir des seules causes naturelles) -> ( Le réchauffement climatique est-il dû à l'activité humaine ?)",""
57975,57975,"( Le respect de la vie privée attire toujours de nouveaux utilisateurs de logiciels libres) -> ¬ ( Le logiciel libre est-il en déclin ?)",""
57976,57976,"( Le revenu de base accentue la marchandisation du monde) -> ¬ ( Faut-il instaurer un revenu de base ?)",""
39474,39474,"( Le revenu de base apporte de meilleures conditions de vie) -> ( Faut-il instaurer un revenu de base ?)",""
39475,39475,"( Le revenu de base apporte plus de justice sociale) -> ( Faut-il instaurer un revenu de base ?)",""
57977,57977,"( Le revenu de base est un désastre économique) -> ¬ ( Faut-il instaurer un revenu de base ?)",""
39476,39476,"( Le revenu de base est une bonne chose pour l'économie nationale) -> ( Faut-il instaurer un revenu de base ?)",""
39477,39477,"( Le revenu de base est une mesure adaptée à l'économie du 21e siècle) -> ( Faut-il instaurer un revenu de base ?)",""
57978,57978,"( Le revenu de base est un mauvais combat politique) -> ¬ ( Faut-il instaurer un revenu de base ?)",""
39478,39478,"( Le revenu de base favorise un meilleur rapport au travail) -> ( Faut-il instaurer un revenu de base ?)",""
