n,url,label
10,"allahin-insani-ilk-yarattigi-andan-itibaren-o-kisinin-ahiret-gununde-cennetcehenneme-gidecegini-bilir-olmasi-mantiksizdir?partial=28567&level=1"," İnsanın, tanrı karşısında özgür bir irâdesinin olmadığı varsayılırsa önerme doğrudur. Aksi durumda test mantıksız değildir."
11,"allahin-insani-ilk-yarattigi-andan-itibaren-o-kisinin-ahiret-gununde-cennetcehenneme-gidecegini-bilir-olmasi-mantiksizdir?partial=31005&level=1","Allah kuran da insanı bir kadere göre yarattık derken, insanın ne yapacağını hayatını nasıl geçireceğini kast etmemiştir. Kader 'miktar', 'kural' demektir. Allah herşeyi bir kader ve kurala göre yaratmıştır. Burada bir anlam kargaşası vardır."
12,"allahin-insani-ilk-yarattigi-andan-itibaren-o-kisinin-ahiret-gununde-cennetcehenneme-gidecegini-bilir-olmasi-mantiksizdir?partial=33637&level=1","Tanrı test sonucunu biliyor, ve testi buna rağmen yapıyor ise burada bir çelişki değil, anlaşılmayan vardır. Bu bir şeyi mantıksız yapmaz, gizemli yapar. Net bir çelişki tespit edilemediği sürece, objektif bir mantıksızlıktan bahsedilemez."
13,"allahin-insani-ilk-yarattigi-andan-itibaren-o-kisinin-ahiret-gununde-cennetcehenneme-gidecegini-bilir-olmasi-mantiksizdir","Allah&#39~ın, insanı ilk yarattığı andan itibaren, o kişinin ahiret gününde cennet/cehenneme gideceğini bilir olması mantıksızdır."
14,"allahin-insani-ilk-yarattigi-andan-itibaren-o-kisinin-ahiret-gununde-cennetcehenneme-gidecegini-bilir-olmasi-mantiksizdir?partial=33644&level=1","Semavi Tanrı yarattıklarından münezzehtir. Dolayısıyla yaratılanlar benzetme, örneklemdirme üzerinden yürütülecek bir argüman 'Composition fallacy' kadar hatalı olacaktır."
15,"allahin-insani-ilk-yarattigi-andan-itibaren-o-kisinin-ahiret-gununde-cennetcehenneme-gidecegini-bilir-olmasi-mantiksizdir?partial=28568&level=1","Mantıksız olması için bir çelişki bulunmalıdır ve tanımsız bir ifadenin bulunduğu denklemde çelişki bulunamaz, çünkü ifadelerin denkliği bilinmemektedir."
16,"allahin-insani-ilk-yarattigi-andan-itibaren-o-kisinin-ahiret-gununde-cennetcehenneme-gidecegini-bilir-olmasi-mantiksizdir?partial=31009&level=1","Allah insanın kaderini bilir. Kader denilen şey ise yapılan seçimlerdir. Bir RPG oyun ya da 'Kelebek Etkisi' filmindeki gibidir. Karşılaştığımız yol ayrımlarında yaptığımız seçimler hayatımızı oluşturur. Allah, bu yolların nereye çıktığını bilir. Seçimi insanın kendisine bırakmıştır."
17,"kanal-istanbul-projesinden-vazgecilmelidir","Kanal İstanbul projesinden vazgeçilmelidir"
18,"None",""
19,"havyanlarin-hayati-da-insanlarinki-kadar-degerlidir","Havyanların hayatı da insanlarınki kadar değerlidir"
20,"yapay-zeka-insanin-varolus-anlamini-tehdit-etmektedir","Yapay zeka insanın varoluş anlamını tehdit etmektedir"
21,"humanizm-onumuzdeki-200-yil-icinde-yok-olacaktir","Hümanizm önümüzdeki 200 yıl içinde yok olacaktır."
22,"istanbul-surici-arac-girisine-kapatilmalidir","İstanbul suriçi araç trafiğine kapatılmalıdır"
23,"devlet-sisteme-giren-paranin-kaynagini-sorgulamamalidir","Devlet, sisteme giren paranın kaynağını sorgulamamalıdır."
24,"tanrinin-varligini-kanitlamak-telasi-gereksizdir","tanrının varlığını kanıtlamak telaşı gereksizdir."
25,"tanri-soyledigi-icin-kotudur","Tanrı söylediği için kötüdür"
26,"argumanda-safsata-tipleri-ve-aciklamalari-cesitlendirilmelidir","Argüman&#39~da, safsata tipleri ve açıklamaları çeşitlendirilmelidir"
27,"yalan-soyleme-olmadan-bilim-olmaz","Yalan söyleme olmadan bilim olmaz"
28,"fotograf-makinelerinin-kaydedebildigi-gerceklikte-realist-cizimler-yapmak-korkunc-bir-emek-israfidir","Fotoğraf makinelerinin kaydedebildiği gerçeklikte, realist çizimler yapmak korkunç bir emek israfıdır."
29,"bilinc-zeka-icin-gereksiz-bir-yetidir","Bilinç, zeka için gereksiz bir yetidir"
30,"arac-kullanirken-sigara-icmek-cezalandirilmalidir","Araç kullanırken sigara içmek cezalandırılmalıdır."
31,"bir-fikir-iscisinin-dusmani-hemfikirleridir","Bir fikir işçisinin gerçek düşmanı hemfikirleridir"
32,"sanat-elestirilemez","Sanat Eleştirilemez"
33,"vicdan-gucluleri-korkutmak-icin-dusunulmus-korkaklarin-kullandigi-bir-sozcukten-baska-bir-sey-degildir","Vicdan güçlüleri korkutmak için düşünülmüş, korkakların kullandığı bir sözcükten başka bir şey değildir."
34,"hicbir-bilgisayar-programi-kendi-basina-bir-sisteme-zihin-veremez","Hiçbir bilgisayar programı kendi başına bir sisteme zihin veremez."
35,"tanrinin-varligini-kanitlamak-telasi-gereksizdir?partial=33649&level=1","Kimsenin böyle bir uğraşı yoktur demek bariz bir hacme sahip bir felsefe konusunu ve din felsefesini, ve ontolojik ve epistemolojik ve ahlaki argümanların yapılmış olmasını görmezden gelmek olabilir ancak. Bu uğraşının olmadığını söylemek kesinlikle yanlıştır. Örneğin; ben de uğraşıyorum."
36,"tanrinin-varligini-kanitlamak-telasi-gereksizdir?partial=32823&level=1","Tanrının varlığını ya da yokluğunu kanıtlamak imkansızdır. Zaten kimsenin böyle bir uğraşı da yoktur."
37,"tanrinin-varligini-kanitlamak-telasi-gereksizdir?partial=33650&level=1","Böyle bir imkansızlığın olması büyük bir iddiadır, desteklenmelidir."
38,"yalan-soyleme-olmadan-bilim-olmaz?partial=31956&level=1","Birisinin söylediklerinden dolayı dikkat çekmeye çalışıyor muamelesi yapmak (özellikle tartışma bilimsel bir tartışma düzleminde) yersizdir."
39,"istanbul-surici-arac-girisine-kapatilmalidir?partial=31176&level=1","Bir çok toplu taşıma aracının kullanıma müsait olduğu bu tarihi yarımadanın içine insanların şahsi araçlarıyla girmesi çevre gürültüsünü artırmaktadır. Şehir merkezi araç trafiğine kapatılmalı, insanlar ulaşım için çevreyle daha dost olan bisiklet kullanımına özendirilmelidir."
40,"istanbul-surici-arac-girisine-kapatilmalidir?partial=33806&level=1"," günlük ticareti ve diğer lojistik hizmetleri aksatmaması gerekir."
41,"bir-fikir-iscisinin-dusmani-hemfikirleridir?partial=32777&level=1","bir fikir işçisinin gerçek düşmanı kendisidir"
42,"bir-fikir-iscisinin-dusmani-hemfikirleridir?partial=32787&level=1","'bence' fikir dediğimiz şey, ezberbozmaktır (Disruption). yani iki veya daha fazla fikir arasında olağan dışı bir bağlantı kurmaktır. Olaya birde bu açıdan bakacak olursak eğer hemfikir de bir donedir."
43,"bir-fikir-iscisinin-dusmani-hemfikirleridir?partial=33453&level=1","Duran cisim düşer. Bu yüzden sürekli aynı görüşlerle beslenen fikir işçisi zamanla fikir çizgisindeki hızını kaybedecektir. Fakat zıt fikirler ile beslenirse ancak o zaman düşünmeye ve üretmeye devam edecektir."
44,"bir-fikir-iscisinin-dusmani-hemfikirleridir?partial=32775&level=1","kaleyi içeriden fethetmek daha kolaydır. Bir fikri kolay şekilde yıkmak, ona saldırmaktan ziyade onun gibi görünüp çarpıtmakla olur. Fikir işçisinin düşmanı fikrin açığını bulmaya çalışanlar değil, fikri benimsemeden savunmaya çalışan veya onu kasıtlı olarak çarpıtmaya çalışan hemfikirleridir."
45,"vicdan-gucluleri-korkutmak-icin-dusunulmus-korkaklarin-kullandigi-bir-sozcukten-baska-bir-sey-degildir?partial=4871&level=1","olmayabilir de."
46,"vicdan-gucluleri-korkutmak-icin-dusunulmus-korkaklarin-kullandigi-bir-sozcukten-baska-bir-sey-degildir?partial=4623&level=1","bu önerme vicdansız bir bireyin kendi vicdansızlığını meşrulaştırmak için ileri sürdüğü bir argüman da olabilir."
47,"havyanlarin-hayati-da-insanlarinki-kadar-degerlidir?partial=34176&level=1","Benim asıl sözünü ettiğim ölüm değil, bir canlıyı öldürmek. Ayrıca sırf doğanın dengesi bozulmasın diye canlıların birbirini öldürmesine göz yummak öldürmeyi benim benim anladığım şekliyle ahlaklı kılmıyor, zaten doğanın kendisi de ahlak kurallarıyla işlemiyor."
48,"havyanlarin-hayati-da-insanlarinki-kadar-degerlidir?partial=33330&level=1","ölüm de hayatın bir parçasıdır ve doğaldır. canlılar birbirlerini 'öldürmediğinde' ortaya çok daha kötü sonuçlar çıkabilir ve doğanın dengesi bozulabilir."
49,"havyanlarin-hayati-da-insanlarinki-kadar-degerlidir?partial=34177&level=1","bu argüman mevcut düzenin tek mümkün gerçeklik olduğunu varsayıyor. Canlıların birbirini öldürmeden varolabildiği daha ahlaki gerçeklikler de varolabilirdi."
50,"arac-kullanirken-sigara-icmek-cezalandirilmalidir?partial=33537&level=1","Özel araçta, sürücü hariç içilebilir olması makul gözükmektedir."
51,"arac-kullanirken-sigara-icmek-cezalandirilmalidir?partial=33536&level=1","Kişisel alan, toplumsal alanla kesişir. Kaza riski artmaktadır. + Özellikle toplu taşımada rahatsız edici olması sebebiyle de 🚫 olmalı."
52,"tanrinin-varligini-kanitlamak-telasi-gereksizdir?partial=33652&level=1","ama argüman tanrının olup olmaması değil. Tanrının olduğunun bilinip bilinmemesinin pratikte hiçbir önemli sonucu olnaz."
53,"tanrinin-varligini-kanitlamak-telasi-gereksizdir?partial=33651&level=1","Tanrının olup, olmamasının çok önemli sonuçları olabilir."
54,"bilinc-zeka-icin-gereksiz-bir-yetidir?partial=33522&level=1","Bir zekanın, problemleri çözmek ve yeni yöntemler keşfetmek için kendi farkındalığına gerek yoktur. Bilinç çoğu durumda zekayı yavaşlatan, hatta yeni problemlerin oluşmasına sebep olan gereksiz bir yetidir."
55,"kanal-istanbul-projesinden-vazgecilmelidir?partial=711&level=1","Marmara Denizi kısa süre içinde çürük yumurta kokmaya başlayacaktır"
56,"kanal-istanbul-projesinden-vazgecilmelidir?partial=776&level=1","olası bir marmara depreminde istanbul'a vereceği zarar daha yüksek olacaktır."
57,"kanal-istanbul-projesinden-vazgecilmelidir?partial=764&level=1","kanal nüfus baskısına neden olacak ve yeni bir 'ada' yaratacaktır."
58,"kanal-istanbul-projesinden-vazgecilmelidir?partial=33723&level=1","İnanılmaz ölçekte kazı, dolgu, dinamit patlatılması ve iş makinalarının kullanımı ciddi ölçekte gürültü ve egzoz gazı yayılmasına neden olacaktır.Önemli bir tarım ve mera alanı yok olacaktır."
59,"kanal-istanbul-projesinden-vazgecilmelidir?partial=33805&level=1","Çok doğru bir planlamayla bu kanalın kazanımlarından mahrum kalmamak da gerekir."
60,"allahin-insani-ilk-yarattigi-andan-itibaren-o-kisinin-ahiret-gununde-cennetcehenneme-gidecegini-bilir-olmasi-mantiksizdir?partial=33639&level=1","A kavramının B koşullarında C yapması bekleniliyor ancak D yapıyorsa bunun mantıksız olması zorunlu değil; beklenilmeyen olması yeterlidir.A kavramının B koşullarında C yapacağı biliniyor ve buna rağmen D yapıyorsa, bu mantıksız olması için yeterlidir.Ana argüman bunu sağlamıyor."
61,"allahin-insani-ilk-yarattigi-andan-itibaren-o-kisinin-ahiret-gununde-cennetcehenneme-gidecegini-bilir-olmasi-mantiksizdir?partial=33638&level=1","1- Analoji, ancak A ve B olguları benzer ise ve/veya benzer ilişkiler mevcutsa tutarlıdır.2- Tanrı kavramına dair tüm özellikleri bilmiyoruz.Yani;Tanrıyla ilgili yapılan tüm analojiler mantıksal zeminden yoksundur."
62,"allahin-insani-ilk-yarattigi-andan-itibaren-o-kisinin-ahiret-gununde-cennetcehenneme-gidecegini-bilir-olmasi-mantiksizdir?partial=33645&level=1","1- Semavi Tanrı zamanı yaratmıştır.2- Yarattıklarından münezzehtir.Yani; Tanrı zamandan bağımsızdır. Bu perspektiften her şey Onun için olmuş-bitmiş olabilir. Bir insan gibi oturup testin bilinen sonucunu beklemesi zorunlu değildir."
63,"bir-fikir-iscisinin-dusmani-hemfikirleridir?partial=33446&level=1","Bir şeyin kolay oluşu ancak occam'ın usturası durumlarında geçerli bir sebep olabilir. Bir şeyin asli sebebi kolay yapılması olamaz."
64,"havyanlarin-hayati-da-insanlarinki-kadar-degerlidir?partial=32872&level=1","İnsan hayatı sanıldığı kadar değerli değildir.safsata editi: Karşı argüman olan 'Hayvanlar insanlar kadar değerli değildir' veya 'İnsanlar hayvanlardan daha değerlidir' iddiasının örtük olarak insana atfettiği yüksek değerin mevcut olmadığını söyleyerek üst argümanı destekliyorum."
65,"havyanlarin-hayati-da-insanlarinki-kadar-degerlidir?partial=33523&level=1","Hiçbir hayvan, bir diğer hayvanın hayatına içgüdülerinin dışında (annelik, hayatta kalmak) değer vermez. İnsanın hayvana değer vermesi hümanizm düşüncesinin bir sonucudur. Bu yüzdendir ki hiçbir canlının değerini kendibaşına ölçmeye kalkmaz, 'insan kadar değerli' diyerek belirlemeye çalışırız."
66,"havyanlarin-hayati-da-insanlarinki-kadar-degerlidir?partial=33524&level=1","Hayvanların hayatı insanlarınkinden daha değerli de olabilir veya olmayabilir. Bu değeri insan vermektedir; iki taraflı bir muhakeme bulunmaz."
67,"havyanlarin-hayati-da-insanlarinki-kadar-degerlidir?partial=32871&level=1","Sözkonusu bir cana kıymak ise canı taşıyan organizmanın taksonomik konumu önemsizdir. Bir yaşamı sonlandırmanın, tür fark etmeksizin, hiçbir ahlaki gerekçesi olamaz"
68,"depresyon-icedonuk-safsatalarin-sonucudur?partial=33521&level=1","Kimse kasıtlı olarak kendi düşüncelerini çarpıtmaz."
69,"tanrinin-varligini-kanitlamak-telasi-gereksizdir?partial=32808&level=1","çünkü bir şeyin varlığını kanıtlarsanız inanmak (iman etmek) fonksiyonu ortadan kalkar."
70,"tanrinin-varligini-kanitlamak-telasi-gereksizdir?partial=32878&level=1","Tartışılması gereken tanrısallık kavramıdır..."
71,"yapay-zeka-insanin-varolus-anlamini-tehdit-etmektedir?partial=33517&level=1","Günümüz hümanizmi etik yargılara hisler yoluyla ulaşır. İnsan çoğu zaman hislerini anlayamaz ve onları gözü kör dinler. Gelişmekte olan yapay zeka ise gelecekte insanı kendinden daha iyi tanıyabilir ve onun adına kararlar alabilir. Bu da insanın varoluş anlamını tamamen kaybetmesi anlamına gelir."
72,"yapay-zeka-insanin-varolus-anlamini-tehdit-etmektedir?partial=33544&level=1","yapay zeka, kriz anında insan varlılığının devamı için duygularına göre değil mantığa göre hareket edeceğinden kurtarıcı bir misyon yüklenebilir."
73,"yapay-zeka-insanin-varolus-anlamini-tehdit-etmektedir?partial=33603&level=1","İnsanın varoluşu anlamsızdır."
74,"tanrinin-varligini-kanitlamak-telasi-gereksizdir?partial=33703&level=1","Tarafgirliğin ortadan kaldırılması mı gerekiyor?"
75,"tanrinin-varligini-kanitlamak-telasi-gereksizdir?partial=32825&level=1","bu tarafgirliği ortadan kaldırmaz."
76,"yapay-zeka-insanin-varolus-anlamini-tehdit-etmektedir?partial=33518&level=1","makinenin söyleyecekleri daima kendi hislerinden daha doğru ve noksansızdır. Öyleyse ya bilerek kendi içinden geleni seçmeli ve yanlış yapma riskini göze almalıdır veya kendinden daha zeki olan makinenin söylediklerini uygulamalıdır."
77,"arac-kullanirken-sigara-icmek-cezalandirilmalidir?partial=33538&level=1","aynı derecede kaza riski taşıyan klima tertibatı veya radyo kullanımı yasalarla kısıtlanmamıştır."
78,"allahin-insani-ilk-yarattigi-andan-itibaren-o-kisinin-ahiret-gununde-cennetcehenneme-gidecegini-bilir-olmasi-mantiksizdir?partial=33647&level=1","Bir yazılımın yaptığı bir hesapta bağımsız bir değer alan fonksiyon mevcut olduğu halde, hesap bir sonuç veriyorsa bu olgu mantıksız değil; aksine analitik mantık kadar doğrudur.Yazılım; kaderİşlem; dünyaSonuç; ahiretBağımsız değer fonksiyonu; özgür iradeİşlemde mantıksızlık yoktur."
79,"humanizm-onumuzdeki-200-yil-icinde-yok-olacaktir?partial=33551&level=1","Geleceğin yeni dini Dataizm olacaktır"
80,"hicbir-bilgisayar-programi-kendi-basina-bir-sisteme-zihin-veremez?partial=33300&level=1","Zihne neden olan beyindir. Beyindeki nörofizyolojik süreçler zihinsel olguların ortaya çıkmasını sağlar."
81,"hicbir-bilgisayar-programi-kendi-basina-bir-sisteme-zihin-veremez?partial=33329&level=1","'bilgisayar programı' denilen şey zaten doğada kendiliğinden oluşmuyor. belirli bir görevi yapmak için temeli, insanlar tarafından oluşturuluyor. yani 'programın', 'kendi başına' kalması gibi bir durum söz konusu değildir. ayrıca 'sisteme zihin vermek' tabiri de korkunç bir çeviri örneği."
82,"hicbir-bilgisayar-programi-kendi-basina-bir-sisteme-zihin-veremez?partial=33302&level=1","Bilgisayar programları tümüyle biçimsel veya sentaktik yapılarıyla tanımlanırlar."
83,"kanal-istanbul-projesinden-vazgecilmelidir?partial=712&level=1","Karadeniz'den gelen yüksek besinli su Marmara Denizi'ni oksijensiz bırakacaktır"
84,"yapay-zeka-insanin-varolus-anlamini-tehdit-etmektedir?partial=33550&level=1","argümanda, yapay zekanın insanın varoluşunu değil, varoluş anlamını tehdit edildiği söylenmektedir."
85,"yalan-soyleme-olmadan-bilim-olmaz?partial=31957&level=1","'İlgi çekmek için yapıyor' söylemini herkes için kullanabiliriz. kediler dahilSıradan kedi yoktur."
86,"yalan-soyleme-olmadan-bilim-olmaz?partial=31972&level=1","Hangi dilin akademik alanında yalan söylemek yoktur? Yalan türkçe bir kelimedir."
87,"tanri-soyledigi-icin-kotudur?partial=33541&level=1","Kötü, Tanrı'dan önce gelemez."
88,"tanri-soyledigi-icin-kotudur?partial=33636&level=1","Ancak Tanrı dilediğini yapmakta özgürdür(doğruyu söylememek) çünkü kâinattan ve insan aklı yargılarından münezzeh bir varlığın ona hapsolması, hatta mantığımıza uyması gerekli bir durum değildir. Bu yüzden, Tanrının bize doğruyu söylemesi gibi bir obligasyonu zorunlu değildir."
89,"vicdan-gucluleri-korkutmak-icin-dusunulmus-korkaklarin-kullandigi-bir-sozcukten-baska-bir-sey-degildir?partial=4634&level=1","Vicdan doğuştan gelen bir olgudur. Kişi tarafından bastırılabilir, görmezden gelinebilir ama hep oradadır."
90,"vicdan-gucluleri-korkutmak-icin-dusunulmus-korkaklarin-kullandigi-bir-sozcukten-baska-bir-sey-degildir?partial=4772&level=1","Vicdan toplumun ortak aklidir, güçlüye karsi bir hak arayisi dayanagidir. Doğru yola/cogunlugun degerlerine davettir. "
91,"vicdan-gucluleri-korkutmak-icin-dusunulmus-korkaklarin-kullandigi-bir-sozcukten-baska-bir-sey-degildir?partial=4872&level=1","ancak bu durum her zaman doğru yola sevk etmez. linç ve talan kültürü bu vesileyle doğmuştur."
92,"hicbir-bilgisayar-programi-kendi-basina-bir-sisteme-zihin-veremez?partial=33301&level=1","Sentaks, semantik için yeterli değildir. Sentaks biçimsel, semantik içerikseldir."
93,"kanal-istanbul-projesinden-vazgecilmelidir?partial=34201&level=1","Buradaki 'kazanımlar' ifadesi örnekle desteklenmeyip tahayyüle bırakıldığından ve kime ait bir kazanım olacağı belirtilmediğinden, argüman muğlak kalmıştır."
94,"vicdan-gucluleri-korkutmak-icin-dusunulmus-korkaklarin-kullandigi-bir-sozcukten-baska-bir-sey-degildir?partial=4644&level=1","Fizyolojik özellikler dışında hiçbir özellik doğuştan kazanılmış değildir. Toplumdan tecrit edilerek büyümüş bir birey hayvandan farksız olur."
95,"yalan-soyleme-olmadan-bilim-olmaz?partial=32074&level=1","Modern bilimsel metotda yalan ve dogru tanimlari yerine bilimsel metot, tez, hipotez ve teori tanimlari vardir."
96,"yalan-soyleme-olmadan-bilim-olmaz?partial=31754&level=1","İnsan çevresinde olan biteni izah etmek için bir yetenek; yalan söyleme yeteneği icad eder."
97,"yalan-soyleme-olmadan-bilim-olmaz?partial=31760&level=1","Bilimsel söylemler saati kurulmuş yalan gibidirler. Aksi ispatlanana kadar doğrudurlar, sonra patlarlar. Tıpkı zamanında dünyanın düz olduğu yalanının söylenmesi gibi."
98,"yalan-soyleme-olmadan-bilim-olmaz?partial=33545&level=1","dopamin salgısının gereği için bazı durumlarda yalan söylemek gerekir."
99,"devlet-sisteme-giren-paranin-kaynagini-sorgulamamalidir?partial=33631&level=1","Para, devlet içerisindeki oluşabilecek usulsüzlüğün temel kaynağıdır. Devlet hiyerarşisine ve barış ortamına zarar verme ihtimali olan oluşumlara para akışının çıkış kaynağı izlenerek ulaşılabilir. Devlet temel görevlerini yerine getirebilmek adına sistemdeki tüm parayı izlemelidir."
100,"argumanda-safsata-tipleri-ve-aciklamalari-cesitlendirilmelidir?partial=33540&level=1","Platformda, bir argüman için öne sürülen önermenin tipi belirlemek kadar, önermenin ulaşıldığı mantık düzlemini kurmak da önemlidir. Kullanıcılar, safsataları benimsemesi ve farkında olarak kullanabilmesi için safsata bildirimi daha işlevsel hale getirilmelidir."
101,"yalan-soyleme-olmadan-bilim-olmaz?partial=31959&level=1","Yalan ve yanlış farklı şeylerdir. Yalan, aldatma amacı güderek, doğrudan doğru olmadığı bilinen bir yargının kullanımıdır. Yanlış ise kasıt taşımak zorunda değildir. Kaldı ki doğrunun zıttı yalan değildir, yanlıştır."
102,"vicdan-gucluleri-korkutmak-icin-dusunulmus-korkaklarin-kullandigi-bir-sozcukten-baska-bir-sey-degildir?partial=33443&level=1","İnsan ruhu ile doğar. Tıpkı doğumundan itibaren fiziksel gelişimi nasıl ilerliyorsa, ruhsal gelişimi de bir ilerlemeye sahiptir. Hayvanın da fiziksel gelişimi vardır. Tecrit edilen bireyin hayvandan farksız olmasının sebebi bir ruhunun olmasıdır. Vicdan insanın ruhu ile olan iletişimidir."
103,"humanizm-onumuzdeki-200-yil-icinde-yok-olacaktir?partial=34172&level=1","Süregeldiği varsayılan 'Hümanizm'in' bitmesi için bir çok sebep sayılabilir fakat dataizmin yeni din olarak gösterilmesi bu sebepler arasında değildir. Dataizmin yeni din olacak önermesi spekülatiftir."
104,"tanrinin-varligini-kanitlamak-telasi-gereksizdir?partial=33648&level=1","1-Bir şeyin gereksiz olması, olması ile olmaması arasında bir fark olmamasıdır.2-Tanrının kanıtlanması eğer inancı kaldıracaksa; bu 1. maddeye göre gereksiz olarak nitelendirilemez.(Bu önerme ancak argümandaki 'telaş' ile bu uğraşı veya kanıtlanma olgusu kastedilmişse doğrudur)"
105,"hicbir-bilgisayar-programi-kendi-basina-bir-sisteme-zihin-veremez?partial=33303&level=1","Zihinler semantik içeriklere sahiptir."
