n,url,label
53,"le-cafe-est-bon-pour-la-sante?partial=31277&level=1","Boire trop de café peut conduire à des insomnies, et alors on rentre dans un cercle vicieux : on boit plus de café pour tenir la journée, ce qui nous empêche d'avoir un sommeil récupérateur la nuit."
54,"il-faudrait-supprimer-les-cotisations-retraites-pour-les-jeunes-de-moins-de-30-ans?partial=24747&level=1","Faire travailler les jeunes est plus important que de faire travailler le reste de la population."
55,"il-faudrait-supprimer-les-cotisations-retraites-pour-les-jeunes-de-moins-de-30-ans?partial=23643&level=1","Favoriser l'emploi des 'jeunes' implique de défavoriser l'emploi des autres. Cela ne contribuerait donc pas à une réduction du chômage, mais simplement à discriminer les + de 30 ans à l'embauche."
56,"le-cafe-est-bon-pour-la-sante?partial=33506&level=1","des fois ça a l'effet inverse"
57,"il-faudrait-supprimer-les-cotisations-retraites-pour-les-jeunes-de-moins-de-30-ans?partial=23642&level=1","La réduction des charges n’entraîne pas systématiquement de l'emploi (cf échec du pacte de compétitivité)"
58,"il-faudrait-supprimer-les-cotisations-retraites-pour-les-jeunes-de-moins-de-30-ans?partial=24771&level=1","Le problème reste le même : favoriser des pauvres jeunes par rapport à d'autres pauvres ne réduit pas le nombre de pauvres. Et la suppression des cotisations retraites augmentera le problème de leur financement."
59,"il-faudrait-supprimer-les-cotisations-retraites-pour-les-jeunes-de-moins-de-30-ans?partial=24748&level=1","Les jeunes sont plus pauvres en moyenne que le reste de la population."
60,"la-liste-de-discussion-pour-lorganisation-du-processus-constituant-inter-ville-doit-etre-publique?partial=20770&level=1","l'organisation doit être transparente et accessible à qui veut."
61,"il-faudrait-supprimer-les-cotisations-retraites-pour-les-jeunes-de-moins-de-30-ans?partial=24749&level=1","Les jeunes ont besoin de s'insérer dans la société"
62,"lenfer-est-pave-de-bonnes-intentions?partial=20607&level=1","On se rend compte que le problème est plus profond, de l'ordre du comportement humain : Les gens sont prompts à dénoncer critiquer quand chacun doit regarder d'abord en lui même 'pour accomplir des choses importantes, il faut trouver le courage de faire avancer son armée contre soit même'"
63,"lenfer-est-pave-de-bonnes-intentions?partial=20612&level=1","Dans un mvt comme nuit debout, avancer c’est changer de cadre, voir loin, oser remettre en cause des choses, ce qui n’est pas facile : c’est abandonner son cadre de référence et son confort."
64,"il-faut-interdire-la-pratique-du-lancer-de-nain?partial=31120&level=1","Si la personne lancée consent à cette pratique, cela signifie que cette pratique ne lui cause pas de tort."
65,"il-faudrait-supprimer-les-cotisations-retraites-pour-les-jeunes-de-moins-de-30-ans?partial=24770&level=1","(réponse au sophisme)Ca n'est pas une conclusion. je n'ai pas dit 'la réduction des charges n'a pas d'effet', mais 'la réduction des charges n'entraine pas SYSTEMATIQUEMENT [...]'"
